name,subcatalog,course
必修,一上,微積分甲上
必修,一上,普通化學丙
必修,一上,普通化學實驗
必修,一上,生物科學通論
必修,一上,普通物理學上
必修,一上,普通物理學實驗上
必修,一上,計算機程式
必修,一下,微積分甲下
必修,一下,線性代數
必修,一下,計算機概論
必修,一下,普通物理學下
必修,一下,普通物理學實驗下
必修,二上,電子學一
必修,二上,電電實驗一
必修,二上,交換電路與邏輯設計
必修,二上,電路學
必修,二上,微分方程
必修,二下,電子學二
必修,二下,電電實驗二
必修,二下,機率與統計
必修,二下,信號與系統
必修,二下,電磁學一
必修,二下,複變
必修,二下,離散數學
必修,三上,電子學三
必修,三上,電電實驗三
必修,三上,電磁學二
必修,三上,專題演講
複選必修,科學類,微波系統導論
複選必修,科學類,生醫工程概論
複選必修,科學類,固態電子學
複選必修,科學類,光電導論
複選必修,科學類,近代物理
複選必修,系統類,積體電路設計
複選必修,系統類,電力工程導論
複選必修,系統類,資料結構程式設計
複選必修,系統類,電子設計自動化導論
複選必修,系統類,通信原理
複選必修,系統類,控制系統
